Position,Team ID,Matches Played,Goals For,Goals Against,Goal Difference,Points
1,1,16,35,18,17,38
2,9,16,39,15,24,37
3,12,16,34,12,22,36
4,3,16,35,19,16,34
5,10,16,22,16,6,27
6,7,16,27,22,5,27
7,2,16,24,19,5,25
8,11,16,32,30,2,25
9,4,16,23,27,-4,24
10,20,16,32,28,4,23
11,6,16,26,29,-3,23
12,15,16,26,25,1,20
13,17,16,20,17,3,19
14,18,16,21,27,-6,16
15,14,16,22,32,-10,15
16,19,16,15,29,-14,15
17,16,16,17,36,-19,12
18,5,16,17,30,-13,10
19,8,16,17,31,-14,10
20,13,16,11,33,-22,8
