Match ID,Home ID,Away ID
181,6,1
182,2,14
183,8,3
184,15,4
185,10,5
186,20,7
187,9,17
188,19,11
189,12,16
190,18,13
191,17,5
192,18,6
193,8,10
194,11,14
195,15,16
196,20,19
197,7,4
198,3,12
199,9,2
200,13,1
201,18,11
202,6,17
203,1,8
204,12,15
205,2,4
206,16,9
207,10,13
208,5,20
209,19,3
210,14,7
211,11,12
212,17,2
213,15,1
214,4,16
215,8,18
216,9,19
217,3,10
218,7,6
219,20,14
220,13,5
221,18,17
222,6,20
223,2,8
224,12,9
225,19,4
226,14,13
227,5,15
228,1,7
229,10,11
230,16,3
231,9,1
232,13,11
233,20,12
234,4,14
235,15,18
236,2,19
237,3,5
238,7,10
239,17,16
240,8,6
241,5,4
242,1,2
243,12,13
244,16,7
245,19,8
246,6,15
247,18,9
248,14,17
249,10,20
250,11,3
251,4,12
252,2,5
253,9,6
254,7,11
255,15,10
256,3,14
257,20,18
258,17,1
259,8,16
260,13,19
261,10,9
262,12,2
263,5,7
264,11,20
265,18,3
266,1,4
267,19,15
268,6,13
269,16,14
270,8,17
271,7,19
272,2,10
273,17,12
274,3,6
275,15,8
276,4,18
277,14,5
278,20,1
279,9,11
280,13,16
281,1,3
282,6,2
283,12,7
284,18,14
285,16,20
286,11,4
287,9,15
288,10,17
289,8,13
290,19,5
291,17,19
292,5,12
293,2,11
294,4,6
295,13,15
296,7,18
297,14,10
298,20,8
299,3,9
300,1,16
301,18,2
302,12,14
303,11,17
304,19,1
305,6,5
306,20,13
307,10,16
308,15,3
309,9,7
310,8,4
311,12,18
312,1,10
313,5,11
314,2,20
315,16,19
316,14,6
317,3,13
318,4,9
319,7,8
320,17,15
321,20,4
322,15,2
323,11,1
324,8,5
325,18,16
326,13,17
327,9,14
328,7,3
329,10,12
330,19,6
331,5,1
332,2,13
333,12,8
334,14,15
335,17,7
336,6,10
337,4,3
338,16,11
339,9,20
340,19,18
341,1,14
342,16,5
343,7,2
344,19,12
345,13,4
346,10,18
347,11,6
348,3,17
349,8,9
350,15,20
351,14,8
352,13,7
353,10,19
354,1,18
355,4,17
356,3,20
357,6,12
358,11,15
359,5,9
360,16,2
361,8,11
362,9,13
363,2,3
364,10,4
365,18,5
366,15,7
367,6,16
368,19,14
369,20,17
370,12,1
371,1,6
372,14,2
373,3,8
374,4,15
375,5,10
376,7,20
377,17,9
378,11,19
379,16,12
380,13,18
